username,factor_rep,verified,followersCount,friendsCount,tweetsCount,listedCount,mediaCount,avg_reply,avg_retweet,like_reply,avg_quote,followers_diff,clase
000Marietta,2.0,False,49,256,41,1,13,0.0,0.0,1.0,0.0,-207,human
0063ff,32.0,False,53,241,4690,0,44,0.0,0.0,0.0,0.0,-188,bot
04JeepGrl,2.0,False,133,417,5532,0,186,0.0,0.2,0.8,0.0,-284,human
0nedangels,0.0,False,324,195,2689,0,263,0.0,0.0,1.0,0.0,129,human
1019Clothing1,22.0,False,605,4981,2716,13,552,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.3333333333333333,-4376,bot
101EclectriCars,18.0,False,5,114,5,0,5,0.0,0.0,0.5,0.0,-109,human
10705013,2.0,False,319,1624,1002,21,59,0.4,0.0,0.2,0.0,-1305,human
1447346c6f4e445,11.0,False,6,24,46,0,4,2.0,0.0,0.0,0.0,-18,human
14609Gamgee,12.0,False,612,4977,9588,15,2087,0.0,0.0,0.7777777777777778,0.0,-4365,human
19_saxena,21.0,False,568,1295,2027,10,123,0.5,0.375,1.375,0.0,-727,human
1DVoting28,48.0,False,9,5,2172,0,4,0.0681818181818181,3.977272727272727,0.6136363636363636,0.0454545454545454,4,bot
1D_Beards,7.0,False,77032,16887,270428,420,34064,0.625,0.375,4.625,0.0,60145,human
1JessicaHart,9.0,True,40488,173,1951,394,288,0.5,1.0,7.5,0.0,40315,human
1Kiaramonet,5.0,False,1096,103,38281,2,24,0.1428571428571428,0.0,0.0,0.1428571428571428,993,human
1StarLandmarks,222.0,False,7,0,309,6,0,0.0,0.0425531914893617,0.0851063829787234,0.0,7,bot
1Thermoelectric,14.0,False,507,497,419,2,12,0.0,0.8333333333333334,1.3333333333333333,0.0,10,human
1juliarosen,16.0,False,4695,1611,2724,191,108,0.4444444444444444,1.0,4.666666666666667,0.0,3084,human
2015Stalog17,15.0,False,546,2800,33981,31,270,0.25,0.0,0.5,0.0,-2254,human
263Chat,199.0,False,570746,38386,388730,538,49570,0.173076923076923,0.3269230769230769,1.0576923076923077,0.0384615384615384,532360,bot
2TEN90Brewing,126.0,False,860,2401,1108,4,437,0.1153846153846153,0.2884615384615384,1.4038461538461535,0.0192307692307692,-1541,bot
2Thick_Patty6,8.0,False,980,1317,47539,13,1032,0.5,0.125,3.125,0.0,-337,human
2angels2love,17.0,False,626,4038,51763,15,248,0.0,0.0,1.1111111111111112,0.0,-3412,human
2fistedstories,126.0,False,1145,1081,63798,27,56,0.0384615384615384,0.0384615384615384,0.3269230769230769,0.0,64,bot
2minStudio,0.0,False,2,18,23,0,3,0.0,0.0,0.0,0.0,-16,human
2ndgradebv,11.0,False,148,180,541,3,327,0.1,0.1,2.7,0.0,-32,human
