arquitectura,loss,val_loss,accuracy,val_accuracy,epoch
"[20, 0, 0]",0.1988000124692917,0.1748902797698974,0.6911764740943909,0.7530864477157593,34
"[20, 20, 0]",0.1992967873811721,0.1747562885284423,0.6865324974060059,0.7530864477157593,42
"[10, 0, 0]",0.1974824219942093,0.1753187030553817,0.6904024481773376,0.7530864477157593,36
"[20, 20, 0]",0.2435400485992431,0.2478993982076645,0.5835913419723511,0.5555555820465088,343
"[30, 30, 0]",0.2435780763626098,0.2477296888828277,0.5835913419723511,0.5555555820465088,337
"[30, 30, 0, 'relu', 0.3]",0.2461280524730682,0.2486621886491775,0.5712074041366577,0.5555555820465088,1
"[30, 30, 0, 'relu', 0.1]",0.2442941814661026,0.2478151172399521,0.5835913419723511,0.5555555820465088,1
"[100, 100, 0, 'relu', 0.2]",0.2441772371530532,0.2480218708515167,0.5835913419723511,0.5555555820465088,1
"[100, 100, 0, 'sigmoid', 0.2]",0.2432825714349746,0.2480648458003997,0.5835913419723511,0.5555555820465088,719
"[30, 30, 30, 'sigmoid', 0.2]",0.2433321475982666,0.2476741671562194,0.5835913419723511,0.5555555820465088,1011
"[30, 30, 50, 'sigmoid', 0.2]",0.2433430552482605,0.2476587444543838,0.5835913419723511,0.5555555820465088,1233
"[30, 50, 50, 'sigmoid', 0.2]",0.243336796760559,0.2476314306259155,0.5835913419723511,0.5555555820465088,1046
"[50, 50, 50, 'sigmoid', 0.2]",0.24334175884723663,0.24763144552707672,0.5835913419723511,0.5555555820465088,970
